Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-Sep-23,55.81,56.5,54.46,54.95,55.70480583,6124623,22927,341170935,1907118,31.14,2.04,-0.86
27-Sep-23,50.2,55.03,50.1,54.52,53.23644064,6141478,16051,326950429,1714953,27.92,4.93,4.32
26-Sep-23,49.98,50.2,49.5,50.02,49.81926967,463049,1494,23068763,256237,55.34,0.7,0.04
25-Sep-23,49.84,50.6,49.15,49.32,49.84113847,1806567,5730,90041356,819636,45.37,1.45,-0.52
22-Sep-23,49.04,49.72,49,49.21,49.28716128,805314,3128,39691641,361663,44.91,0.72,0.17
21-Sep-23,49.2,49.85,48.9,49.03,49.2189903,1001332,4044,49284550,472434,47.18,0.95,-0.17
20-Sep-23,48.51,49.7,48.51,49.36,49.12500592,612387,2444,30083515,260234,42.5,1.19,0.85
18-Sep-23,49.62,50.59,48.91,49.04,49.74176783,1606957,5721,79932882,612880,38.14,1.68,-0.58
15-Sep-23,49.18,49.83,48.45,49.31,49.18370825,1085003,4514,53364471,459977,42.39,1.38,0.13
14-Sep-23,49.89,50.55,48.91,49.17,49.85863296,541477,1961,26997303,233994,43.21,1.64,-0.72
13-Sep-23,47.51,49.7,47.45,49.53,48.44223452,1488285,5248,72095851,689525,46.33,2.25,2.02
12-Sep-23,50.36,51.1,48.25,48.47,49.30650073,1043668,2994,51459617,329689,31.59,2.85,-1.89
11-Sep-23,50.16,51.36,49.75,50.04,50.42717815,1176872,3800,59346334,427657,36.34,1.61,-0.12
08-Sep-23,50.06,50.31,49.71,49.83,49.99435904,390182,1768,19506899,185413,47.52,0.6,-0.23
07-Sep-23,50.11,50.36,49.64,49.98,49.93244028,1862382,3933,92993278,676908,36.35,0.72,-0.13
06-Sep-23,49.59,50.75,49.53,50.05,50.1142106,1759145,5883,88158163,950605,54.04,1.22,0.46
05-Sep-23,48.36,49.6,48.36,49.38,49.16272814,658368,1961,32367167,314225,47.73,1.24,1.02
04-Sep-23,48.86,49.25,47.85,48.22,48.42727574,1140486,3374,55230630,686432,60.19,1.4,-0.64
01-Sep-23,48.81,49.05,48.55,48.78,48.84993994,1276149,4233,62339802,862560,67.59,0.5,-0.03
31-Aug-23,49.14,49.29,48.58,49,48.90999948,329387,1351,16110318,127337,38.66,0.71,-0.14
30-Aug-23,49.21,49.5,49.05,49.13,49.23497838,581645,3150,28637279,347996,59.83,0.45,-0.08
29-Aug-23,49.66,49.8,48.81,49.1,49.1380228,253632,1406,12462975,115103,45.38,0.99,-0.56
28-Aug-23,49.01,50.59,49.01,49.29,49.58929359,1156970,4328,57373325,709273,61.3,1.58,0.28
25-Aug-23,49.25,49.89,48.61,49.8,49.42644424,511809,1688,25296899,163152,31.88,1.28,0.55
24-Aug-23,50.61,51.35,49.04,49.29,50.00417309,1730852,5557,86549823,856107,49.46,2.31,-1.32
23-Aug-23,51.48,53.1,49.56,49.91,51.37510366,2788064,6208,143237077,1016757,36.47,3.54,-1.57
22-Aug-23,49.35,51.23,49.25,50.41,50.4662697,2253612,7300,113731391,1125832,49.96,1.98,1.06
