Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-May-2024,94.49,95.10,93.91,94.11,94.464230881475936100,157622,2466,14889641.00,100513,63.77,1.19,-0.38
29-May-2024,94.71,95.18,94.27,94.72,94.584398615721449254,28318,521,2678441.00,11572,40.86,0.91,0.01
28-May-2024,96.00,97.19,94.51,95.14,95.680193265354517429,67472,1193,6455734.00,26827,39.76,2.68,-0.86
27-May-2024,95.72,97.65,95.20,95.61,96.428923150234788392,100729,1070,9713189.00,51984,51.61,2.45,-0.11
24-May-2024,94.27,96.38,94.27,95.49,95.499211200470867486,207277,2224,19794790.00,139992,67.54,2.11,1.22
23-May-2024,95.41,95.74,94.80,95.29,95.265428066605985972,93385,1525,8896362.00,59184,63.38,0.94,-0.12
22-May-2024,95.49,95.60,94.00,95.42,94.736906128356123365,160304,2072,15186705.00,102875,64.17,1.60,-0.07
21-May-2024,93.01,95.17,93.01,94.65,94.538507094970743609,295491,2489,27935278.00,159698,54.04,2.16,1.64
18-May-2024,96.00,96.00,92.32,94.16,94.737335131894484412,26688,339,2528350.00,15317,57.39,3.68,-1.84
17-May-2024,94.11,95.50,93.76,94.99,94.594805120557982648,209899,2116,19855355.00,124163,59.15,1.74,0.88
16-May-2024,95.49,95.49,92.78,94.05,93.463433746403823980,89331,760,8349182.00,44055,49.32,2.71,-1.44
15-May-2024,96.04,96.04,93.67,94.05,94.432860503804620669,101587,1085,9593151.00,49404,48.63,2.37,-1.99
14-May-2024,91.81,96.25,91.80,95.47,93.513510732137606586,204060,2650,19082367.00,114025,55.88,4.45,3.66
13-May-2024,92.60,93.42,91.35,91.71,92.006879951860395145,99710,1129,9174006.00,40172,40.29,2.07,-0.89
10-May-2024,92.16,93.89,91.76,93.42,92.811014068187532109,274449,2852,25471890.00,95201,34.69,2.13,1.26
9-May-2024,94.49,94.67,92.50,92.86,93.582510872398512847,364455,3142,34106614.00,140553,38.57,2.17,-1.63
8-May-2024,95.19,95.55,94.05,94.42,94.721952343675697030,273374,2222,25894519.00,99068,36.24,1.50,-0.77
7-May-2024,96.45,96.45,93.95,95.10,94.847774686672949196,177211,1452,16808069.00,54586,30.80,2.50,-1.35
6-May-2024,98.00,98.00,94.45,95.68,95.403668358626404930,463368,3345,44207007.00,161512,34.86,3.55,-2.32
3-May-2024,97.66,100.70,93.87,94.43,97.369749401945962602,726941,3858,70782063.00,145689,20.04,6.83,-3.23
2-May-2024,96.73,97.97,94.80,94.97,95.768982942570987726,471173,5455,45123759.00,261685,55.54,3.17,-1.76
30-April-2024,99.01,99.50,96.74,97.07,98.001355891885462817,168155,1726,16479418.00,102906,61.20,2.76,-1.94
29-April-2024,100.26,102.30,98.20,98.56,99.901025375867982856,549262,3775,54871837.00,220679,40.18,4.10,-1.70
26-April-2024,100.88,100.88,98.50,98.88,99.363324175824175824,329056,2547,32696098.00,165543,50.31,2.38,-2.00
25-April-2024,98.61,101.20,97.29,99.16,99.001122298338274395,248597,2317,24611382.00,57103,22.97,3.91,0.55
24-April-2024,100.59,101.55,97.00,97.46,98.808942322458919286,227905,1703,22519052.00,66249,29.07,4.55,-3.13
23-April-2024,98.13,100.83,97.90,100.48,99.461695137976346911,228300,1902,22707105.00,104918,45.96,2.93,2.35
22-April-2024,99.85,100.12,97.79,98.46,98.804820554197615826,126417,1164,12490609.00,41688,32.98,2.33,-1.39
19-April-2024,97.99,98.94,95.90,97.48,97.541465569698333708,239934,2355,23403514.00,121140,50.49,3.04,-0.51
18-April-2024,98.09,100.55,98.09,98.88,99.381080433451369844,75118,772,7465308.00,17012,22.65,2.46,0.79
16-April-2024,97.62,99.65,97.62,98.52,98.852040400749368738,49108,782,4854426.00,13922,28.35,2.03,0.90
15-April-2024,98.52,99.77,96.03,99.32,97.799007723140091895,204580,1516,20007721.00,64144,31.35,3.74,0.80
12-April-2024,99.23,101.75,99.00,100.54,100.819773970868335003,363316,2661,36629437.00,188382,51.85,2.75,1.31
10-April-2024,99.01,100.19,98.11,99.93,99.164458881050263073,59109,654,5861512.00,21412,36.22,2.08,0.92
9-April-2024,100.50,100.50,98.35,98.68,99.274286112393210774,114829,916,11399567.00,43515,37.90,2.15,-1.82
8-April-2024,99.69,102.65,98.55,99.92,100.840905307345543807,612698,4481,61785021.00,243338,39.72,4.10,0.23
5-April-2024,99.54,100.49,97.96,99.05,98.958938833955765397,155037,1206,15342297.00,39961,25.78,2.53,-0.49
4-April-2024,97.01,99.26,96.56,98.31,98.135969959420992065,198132,1798,19443876.00,65527,33.07,2.70,1.30
3-April-2024,96.88,98.14,95.06,96.96,96.808058120658913697,375770,2925,36377564.00,122774,32.67,3.08,0.08
2-April-2024,94.14,96.70,94.14,95.78,95.265905492257862961,374509,2603,35677939.00,153112,40.88,2.56,1.64
1-April-2024,94.26,94.90,93.42,93.97,94.028754378566326135,116191,1073,10925295.00,53298,45.87,1.48,-0.29
28-March-2024,93.32,94.07,91.90,92.41,93.200754296112586766,136286,1099,12701958.00,69472,50.98,2.17,-0.91
27-March-2024,93.68,94.49,92.10,92.86,93.330384909106655014,254034,2453,23709091.00,124125,48.86,2.39,-0.82
26-March-2024,93.69,95.00,92.76,93.25,93.892448683215390241,281633,1680,26443212.00,134142,47.63,2.24,-0.44
22-March-2024,93.50,93.75,91.85,92.76,92.800677068810456078,254627,4217,23629558.00,129330,50.79,1.90,-0.74
21-March-2024,92.10,94.20,91.90,93.50,92.822281636424400888,101734,858,9443182.00,29750,29.24,2.30,1.40
20-March-2024,93.79,93.79,89.90,91.38,91.352652765797118692,201714,2351,18427109.00,70074,34.74,3.89,-2.41
19-March-2024,94.37,94.37,91.86,92.40,92.825343511450381679,68775,812,6384063.00,13607,19.78,2.51,-1.97
18-March-2024,95.35,95.35,92.60,92.86,93.688153310104529616,102746,1012,9626083.00,23534,22.90,2.75,-2.49
15-March-2024,92.95,94.83,92.38,94.11,93.618452903822813499,298262,2332,27922827.00,148488,49.78,2.45,1.16
14-March-2024,90.51,95.43,89.30,93.30,93.297711984119898963,952135,7213,88832017.00,242699,25.49,6.13,2.79
13-March-2024,93.45,93.95,88.29,91.62,91.472296083983700531,231664,1841,21190838.00,63314,27.33,5.66,-1.83
12-March-2024,98.26,99.25,92.25,92.89,94.883671394684610543,206570,2034,19600120.00,80895,39.16,7.00,-5.37
11-March-2024,97.71,97.71,95.40,96.80,96.440104578646306025,240202,2156,23165106.00,81003,33.72,2.31,-0.91
7-March-2024,100.01,101.69,96.20,96.88,98.416111940633910781,200249,1876,19707728.00,77111,38.51,5.49,-3.13
6-March-2024,100.54,101.60,99.50,99.89,100.541599315394123799,283959,2954,28549692.00,121141,42.66,2.10,-0.65
5-March-2024,99.91,101.21,99.81,100.56,100.292702512798206578,89661,822,8992344.00,24475,27.30,1.40,0.65
4-March-2024,101.09,101.90,99.84,101.13,100.666384088972442086,227666,2371,22918313.00,114162,50.14,2.06,0.04
2-March-2024,102.99,102.99,101.14,101.31,101.643771626297577854,5780,296,587501.00,4270,73.88,1.85,-1.68
1-March-2024,100.26,102.50,100.04,101.47,100.898036198637637373,178073,1967,17967216.00,72615,40.78,2.46,1.21
29-February-2024,99.65,101.85,99.15,99.65,100.193994658830303692,402908,3604,40368962.00,171184,42.49,2.70,0.00
28-February-2024,101.85,104.50,98.70,99.60,102.143563202687390001,497732,4620,50840120.00,209940,42.18,5.80,-2.25
27-February-2024,101.25,103.30,100.55,102.05,101.545785249476853527,113257,1366,11500771.00,26058,23.01,2.75,0.80
26-February-2024,102.45,103.40,101.00,101.60,101.844460692680706062,144973,1826,14764697.00,52909,36.50,2.40,-0.85
23-February-2024,105.25,105.50,102.25,103.70,103.281256927510529816,126308,1393,13045249.00,41350,32.74,3.25,-1.55
22-February-2024,103.15,104.50,100.85,104.05,102.705631947393060500,275553,2841,28300845.00,135834,49.30,3.65,0.90
21-February-2024,106.25,106.85,101.95,102.55,103.467372079312377819,386724,4523,40013316.00,141060,36.48,4.90,-3.70
20-February-2024,107.10,107.40,103.70,105.75,105.434341979398653415,270759,2822,28547297.00,121488,44.87,3.70,-1.35
19-February-2024,108.40,109.70,105.65,106.55,106.946285727167864617,532298,4389,56927294.00,237850,44.68,4.05,-1.85
16-February-2024,102.80,107.80,101.30,107.25,105.156016825993162262,286937,2423,30173152.00,89696,31.26,6.50,4.45
15-February-2024,100.60,103.40,100.60,101.90,102.118119312849389970,98028,1621,10010435.00,29983,30.59,2.80,1.30
14-February-2024,100.90,101.25,99.10,100.20,100.471265039699936674,205290,2356,20625746.00,110435,53.79,2.15,-0.70
13-February-2024,101.15,102.00,99.05,101.30,100.608941257640603270,92761,1086,9332586.00,26074,28.11,2.95,0.15
12-February-2024,103.75,103.75,99.80,101.65,100.800590828605499945,332076,3731,33473457.00,139016,41.86,3.95,-2.10
9-February-2024,102.65,104.25,100.55,102.70,102.585122166550099177,436085,3714,44735833.00,217425,49.86,3.70,0.05
8-February-2024,104.95,104.95,102.00,102.40,103.261949940612416350,138076,1455,14257997.00,49351,35.74,2.95,-2.55
7-February-2024,102.80,103.80,101.20,102.95,102.513344174478668452,146356,1341,15003443.00,46029,31.45,2.60,0.15
6-February-2024,105.10,105.85,101.05,101.45,102.169190277623630511,189213,2149,19331739.00,72689,38.42,4.80,-3.65
5-February-2024,104.30,106.65,103.50,104.25,104.594270776423531437,604026,4812,63177659.00,271983,45.03,3.15,-0.05
2-February-2024,103.50,104.95,101.65,104.55,103.479039040940486178,189519,1489,19611244.00,44334,23.39,3.30,1.05
1-February-2024,105.30,105.30,102.15,103.50,103.073209175298168136,137674,1345,14190501.00,42171,30.63,3.15,-1.80
31-January-2024,106.10,106.55,102.55,103.70,104.917806293834066536,355745,4320,37323985.00,106194,29.85,4.00,-2.40
30-January-2024,105.50,107.40,104.50,105.55,105.724405877992412680,114665,2075,12122889.00,25417,22.17,2.90,0.05
29-January-2024,107.05,107.05,102.65,105.45,104.770847531131900130,322820,3191,33822125.00,106660,33.04,4.40,-1.60
25-January-2024,106.35,108.75,99.60,106.25,105.995020012547999879,4233344,7784,448713382.00,3775070,89.17,9.15,-0.10
24-January-2024,108.00,108.25,103.70,106.10,106.328170560836141932,343291,4159,36501504.00,143609,41.83,4.55,-1.90
23-January-2024,113.20,114.10,107.30,108.25,110.408638927581403687,217527,2275,24016860.00,47535,21.85,6.80,-4.95
20-January-2024,113.15,115.00,112.60,112.75,113.294234221631577720,42891,391,4859303.00,15621,36.42,2.40,-0.40
19-January-2024,112.40,114.90,111.95,114.25,113.693930598859251577,296998,2915,33766870.00,182707,61.52,2.95,1.85
18-January-2024,110.40,112.45,106.30,111.85,109.208016263406063126,235621,2216,25731702.00,83177,35.30,6.15,1.45
17-January-2024,112.40,113.40,109.60,109.95,111.412222771848051689,196093,1886,21847157.00,70194,35.80,3.80,-2.45
16-January-2024,113.40,115.50,112.55,114.05,114.253773607836464840,246846,2632,28203087.00,151701,61.46,2.95,0.65
15-January-2024,115.30,115.30,112.00,113.20,113.179348022721516697,110556,1204,12512656.00,38676,34.98,3.30,-2.10
12-January-2024,114.70,116.50,113.55,113.70,114.572362896223863814,140514,1445,16099021.00,45234,32.19,2.95,-1.00
11-January-2024,113.35,115.50,112.75,113.50,114.252915047196002220,342190,3900,39096205.00,219987,64.29,2.75,0.15
10-January-2024,113.20,114.15,112.00,112.65,112.875357548685396340,102084,1345,11522768.00,32337,31.68,2.15,-0.55
9-January-2024,112.90,114.40,112.50,113.30,113.210812103948415237,179743,1443,20348851.00,52665,29.30,1.90,0.40
8-January-2024,114.85,114.85,109.75,111.85,111.820235138620932240,656719,5681,73434473.00,260314,39.64,5.10,-3.00
5-January-2024,113.65,115.70,111.75,114.60,113.589207234555892366,680567,5726,77305066.00,291100,42.77,3.95,0.95
4-January-2024,110.40,113.65,110.40,111.50,112.231133809827009479,446036,4491,50059126.00,228037,51.13,3.25,1.10
3-January-2024,110.25,111.60,108.85,110.80,110.779822010173959456,367212,2974,40679680.00,166441,45.33,2.75,0.55
2-January-2024,107.70,112.90,106.50,110.20,109.682766188695714207,476598,3773,52274587.00,141850,29.76,6.40,2.50
1-January-2024,102.90,108.25,102.90,107.10,106.758395035081627737,319683,2705,34128844.00,204430,63.95,5.35,4.20
29-December-2023,108.41,108.41,104.93,105.51,105.720959757152786643,140994,1367,14906021.00,50905,36.10,3.48,-2.90
28-December-2023,108.63,108.80,106.01,106.68,107.010754261467554319,164028,1312,17552760.00,55865,34.06,2.79,-1.95
27-December-2023,105.19,109.50,104.97,108.22,107.879528834621535181,480256,3773,51809791.00,285121,59.37,4.53,3.03
26-December-2023,106.21,106.95,104.05,105.20,105.692368860497786730,188635,2056,19937280.00,91859,48.70,2.90,-1.01
22-December-2023,106.79,107.88,104.95,106.10,106.158610953609738599,172838,1512,18348242.00,81259,47.01,2.93,-0.69
21-December-2023,101.56,106.55,99.42,105.00,104.118986483064309426,651553,4429,67839038.00,182148,27.96,7.13,3.44
20-December-2023,106.97,113.85,100.42,102.30,106.354794876090712090,1456388,9214,154893847.00,562518,38.62,13.43,-4.67
19-December-2023,107.06,107.24,105.20,105.62,106.024489878053688574,149082,885,15806343.00,70425,47.24,2.04,-1.44
18-December-2023,108.00,108.00,105.90,106.35,106.699194807350897440,373451,3269,39846921.00,191515,51.28,2.10,-1.65
