Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
24-October-2025,52.02,52.41,51.69,51.98,52.023998143186198467,1701840,5172,88536521.00,1139984,66.99,0.72,-0.04
23-October-2025,50.09,52.30,49.76,51.90,51.607394557431010576,3452377,16683,178168182.00,2226182,64.48,2.54,1.81
21-October-2025,51.35,52.30,49.70,50.47,51.146939855039841534,888520,2875,45445079.00,464322,52.26,2.60,-0.88
20-October-2025,48.56,51.50,48.56,51.23,50.600964667212626444,6267861,20383,317159813.00,4163277,66.42,2.94,2.67
17-October-2025,48.99,49.17,48.09,48.75,48.729211568874291928,1178023,9771,57404132.00,735827,62.46,1.08,-0.24
16-October-2025,48.82,49.19,48.54,48.98,48.893711697980109717,317542,1002,15525807.00,212583,66.95,0.65,0.16
15-October-2025,47.43,48.87,47.43,48.52,48.245787944698014112,331489,3312,15992948.00,200734,60.56,1.44,1.09
14-October-2025,48.62,49.00,47.33,47.52,48.157191857990536040,399410,1149,19234464.00,201505,50.45,1.67,-1.10
13-October-2025,48.31,49.00,48.03,48.68,48.568659161852568539,849588,3230,41263350.00,604610,71.16,0.97,0.37
10-October-2025,48.19,49.40,47.94,48.82,48.589450569758372445,367963,1092,17879120.00,186295,50.63,1.46,0.63
9-October-2025,47.71,49.37,47.70,48.10,48.430045796532548249,1100520,3567,53298234.00,577465,52.47,1.67,0.39
8-October-2025,48.10,48.40,47.53,47.71,47.870631883037848459,613737,2396,29379978.00,401631,65.44,0.87,-0.39
7-October-2025,49.39,49.39,48.12,48.42,48.566171723692704970,266428,6440,12939388.00,123764,46.45,1.27,-0.97
6-October-2025,48.36,49.85,48.10,48.88,49.061978589584826956,981952,3299,48176508.00,492397,50.14,1.75,0.52
3-October-2025,48.07,48.60,47.85,48.30,48.161482258472890367,1050586,4042,50597779.00,730513,69.53,0.75,0.23
1-October-2025,46.71,48.40,46.03,48.23,47.586481727499943707,1110275,3255,52834081.00,631195,56.85,2.37,1.52
