DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
22-Jan-21,EQ,41,42.25,40.5,40.95,41.35,41.45,41.57,42.5,30.05,1610899,"6,69,58,190.75",7985
21-Jan-21,EQ,42.3,42.5,40.5,41.45,41.2,40.95,41.99,42.5,30.05,2177357,"9,14,36,991.05",9628
20-Jan-21,EQ,41.35,42.15,40.8,41.55,41.4,41.45,41.64,42.35,30.05,1572725,"6,54,95,068.10",5376
19-Jan-21,EQ,41,42.05,40.65,40.95,41.5,41.55,41.64,42.35,30.05,1639766,"6,82,75,253.30",5662
18-Jan-21,EQ,41.25,41.25,39.7,41.25,41,40.95,40.59,42.35,30.05,978313,"3,97,05,979.10",3350
15-Jan-21,EQ,41.8,41.8,41,41.8,41.35,41.25,41.33,42.35,30.05,2133226,"8,81,60,778.30",3370
14-Jan-21,EQ,41.7,42.15,40.5,41.45,41.65,41.8,41.59,42.35,30.05,1762138,"7,32,80,418.35",4995
13-Jan-21,EQ,41.6,41.6,40.9,41.2,41.45,41.45,41.38,42.35,30.05,2252023,"9,31,95,530.65",5754
12-Jan-21,EQ,40.9,41.85,40.05,40.95,41.3,41.2,41.1,42.35,30.05,3410587,"14,01,58,624.00",6396
11-Jan-21,EQ,41.4,41.9,40.25,39.45,40.9,40.95,40.78,42.35,30.05,2804368,"11,43,75,948.50",18131
08-Jan-21,EQ,40.3,40.5,39.1,39.9,39.9,39.45,39.88,42.35,30.05,2127779,"8,48,49,962.90",7435
07-Jan-21,EQ,37.9,42.35,37.35,37.65,40.1,39.9,40.17,42.35,30.05,10240657,"41,13,48,887.80",24770
06-Jan-21,EQ,37.75,37.95,37.45,37.45,37.5,37.65,37.73,40,30.05,936322,"3,53,26,811.10",7152
05-Jan-21,EQ,37.65,37.65,37.05,37.95,37.5,37.45,37.4,40,30.05,614490,"2,29,80,048.85",3200
04-Jan-21,EQ,38.3,38.3,37.4,37.75,37.75,37.95,37.83,40,30.05,1156997,"4,37,66,016.10",9339
01-Jan-21,EQ,37.75,37.8,37.35,37.7,37.75,37.75,37.55,40,30.05,832887,"3,12,73,250.75",3403
31-Dec-20,EQ,37.15,37.85,37.15,37.5,37.5,37.7,37.56,40,30.05,1034633,"3,88,64,049.55",3865
30-Dec-20,EQ,37.55,37.65,36.3,37.55,37.6,37.5,37.2,40,30.05,1483158,"5,51,80,734.95",5313
29-Dec-20,EQ,37.9,37.9,37.2,37.1,37.6,37.55,37.45,40,30.05,1882732,"7,05,12,627.30",6080
28-Dec-20,EQ,36.5,37.2,36.5,36.5,37.1,37.1,36.94,40,30.05,1860194,"6,87,06,302.00",11980
